Inventory_ID,Product_Name,Category,Branch,Vendor,Date_Received,Quantity_Received,Quantity_Sold,Quantity_Damaged,Quantity_Remaining,Unit_Cost,Inventory_Value,Reorder_Level,Inventory_Status
INV00001,West Product,Building Materials,Abuja,Velasquez-Torres,14/05/2026,1011,419,17,575,10402,5981150,42,Healthy
INV00002,Few Product,Beverages,Ibadan,Grant-Bradley,14/05/2026,408,285,26,97,17802,1726794,42,Healthy
INV00003,Pick Product,Beverages,Kano,"Flores, Montgomery and Landry",14/05/2026,481,73,7,401,1539,617139,46,Healthy
INV00004,Wind Product,Food,Lagos,Dennis-Mcgee,14/05/2026,1895,543,5,1347,17666,23796102,82,Slow Moving
INV00005,Discover Product,Pharmaceuticals,Lagos,"Macdonald, Ross and Ortiz",14/05/2026,554,164,3,387,10001,3870387,60,Healthy
INV00006,Defense Product,Pharmaceuticals,Lagos,Lee PLC,14/05/2026,1432,1037,12,383,13564,5195012,150,Slow Moving
INV00007,Century Product,Pharmaceuticals,Abuja,Hayes-Thomas,14/05/2026,1742,494,13,1235,731,902785,133,Slow Moving
INV00008,Simple Product,Building Materials,Ibadan,Benson-Williams,14/05/2026,103,70,44,-11,1440,-15840,125,Overstocked
INV00009,Laugh Product,Building Materials,Kano,"Martinez, Hanna and Mays",14/05/2026,1604,249,8,1347,10197,13735359,169,Healthy
INV00010,Significant Product,Beverages,Ibadan,Johnson and Sons,14/05/2026,1259,1217,12,30,9646,289380,102,Overstocked
INV00011,Night Product,Building Materials,Abuja,Nelson and Sons,14/05/2026,923,539,50,334,24527,8192018,24,Slow Moving
INV00012,Us Product,Electronics,Abuja,Hall Group,14/05/2026,406,50,40,316,8841,2793756,192,Overstocked
INV00013,Behind Product,Electronics,Port Harcourt,"Johnson, Miller and Gonzalez",14/05/2026,1307,42,34,1231,3558,4379898,38,Overstocked
INV00014,Laugh Product,Fashion,Abuja,Allen-Rasmussen,14/05/2026,1702,231,42,1429,13339,19061431,87,Slow Moving
INV00015,Eat Product,Building Materials,Port Harcourt,Lewis-Sanders,14/05/2026,1858,317,5,1536,11131,17097216,76,Healthy
INV00016,Many Product,Electronics,Port Harcourt,Williams-Barnes,14/05/2026,71,42,38,-9,7731,-69579,96,Healthy
INV00017,Hand Product,Pharmaceuticals,Port Harcourt,Rosario and Sons,14/05/2026,348,97,48,203,22692,4606476,110,Overstocked
INV00018,Turn Product,Building Materials,Port Harcourt,"Foster, Alexander and Hoover",14/05/2026,899,616,22,261,13838,3611718,76,Slow Moving
INV00019,Threat Product,Pharmaceuticals,Lagos,Price Ltd,14/05/2026,1424,1271,18,135,18676,2521260,193,Critical
INV00020,Down Product,Food,Port Harcourt,Zhang-Lewis,14/05/2026,897,557,1,339,13763,4665657,91,Critical
INV00021,Rich Product,Beverages,Abuja,Nelson LLC,14/05/2026,1559,244,4,1311,18019,23622909,101,Slow Moving
INV00022,Statement Product,Beverages,Lagos,Koch LLC,14/05/2026,622,482,42,98,12676,1242248,146,Critical
INV00023,Early Product,Fashion,Kano,Parks Inc,14/05/2026,1665,1451,12,202,14143,2856886,67,Slow Moving
INV00024,Population Product,Food,Abuja,"Rosario, Powell and Chapman",14/05/2026,1544,144,19,1381,9965,13761665,100,Healthy
INV00025,Discuss Product,Electronics,Abuja,Richardson-Scott,14/05/2026,1747,82,16,1649,21693,35771757,42,Slow Moving
INV00026,Better Product,Building Materials,Kano,Thompson-Taylor,14/05/2026,1011,69,49,893,9165,8184345,82,Healthy
INV00027,Institution Product,Electronics,Lagos,Lewis PLC,14/05/2026,1582,1102,39,441,22239,9807399,74,Critical
INV00028,Approach Product,Food,Abuja,"Dennis, Collins and West",14/05/2026,901,554,43,304,15165,4610160,64,Healthy
INV00029,Ball Product,Building Materials,Abuja,Ruiz and Sons,14/05/2026,1214,692,31,491,24230,11896930,173,Healthy
INV00030,Market Product,Fashion,Abuja,"Miller, Evans and Kelly",14/05/2026,477,137,37,303,18601,5636103,93,Healthy
INV00031,Structure Product,Beverages,Kano,Rios PLC,14/05/2026,1158,989,35,134,1151,154234,46,Critical
INV00032,Model Product,Electronics,Port Harcourt,Parsons Ltd,14/05/2026,741,47,34,660,12739,8407740,182,Overstocked
INV00033,Open Product,Pharmaceuticals,Kano,Fernandez Ltd,14/05/2026,983,345,22,616,12587,7753592,97,Slow Moving
INV00034,Issue Product,Beverages,Ibadan,Levy Ltd,14/05/2026,935,735,4,196,4202,823592,83,Critical
INV00035,Boy Product,Electronics,Lagos,Green-Turner,14/05/2026,783,460,4,319,17269,5508811,198,Slow Moving
INV00036,Officer Product,Electronics,Lagos,Walters PLC,14/05/2026,1678,592,18,1068,19279,20589972,67,Critical
INV00037,Center Product,Building Materials,Kano,Pierce Ltd,14/05/2026,495,37,5,453,17022,7710966,107,Slow Moving
INV00038,Sit Product,Beverages,Abuja,Miller and Sons,14/05/2026,1114,1001,36,77,13749,1058673,90,Slow Moving
INV00039,Down Product,Food,Port Harcourt,"Olson, Whitaker and Johnson",14/05/2026,1054,204,17,833,18299,15243067,114,Critical
