"Date,Vendor,Category,Invoice Number,Description,Amount"
"2026-01-03,Energy Plus,Diesel,INV-001,Generator diesel supply,850000"
"2026-01-07,FastMove Logistics,Logistics,INV-002,Product delivery,450000"
"2026-01-10,Prime Properties,Rent,INV-003,Office rent,1200000"
"2026-01-14,PowerGrid,Utilities,INV-004,Electricity bill,300000"
"2026-01-18,FixIt Ltd,Repairs,INV-005,Machine repair,650000"
"2026-01-25,Energy Plus,Diesel,INV-001,Generator diesel supply,850000"
"2026-02-04,FastMove Logistics,Logistics,INV-006,Product delivery,500000"
"2026-02-08,PowerGrid,Utilities,INV-007,Electricity bill,350000"
"2026-02-12,OfficeMart,Procurement,INV-008,Office supplies,280000"
"2026-02-16,FixIt Ltd,Repairs,INV-009,Equipment maintenance,900000"
"2026-03-02,Energy Plus,Diesel,INV-010,Generator diesel supply,1100000"
"2026-03-06,FastMove Logistics,Logistics,INV-011,Product delivery,700000"
"2026-03-11,PowerGrid,Utilities,INV-012,Electricity bill,500000"
"2026-03-15,FixIt Ltd,Repairs,INV-013,Machine repair,1300000"
"2026-03-23,OfficeMart,Procurement,INV-014,Office supplies,320000"
