"Date,Expense Category,Department,Vendor,Description,Amount"
"2026-01-03,Diesel,Operations,Energy Plus,Generator diesel supply,850000"
"2026-01-07,Logistics,Sales,FastMove Logistics,Product delivery,450000"
"2026-01-10,Rent,Admin,Prime Properties,Office rent,1200000"
"2026-01-14,Utilities,Operations,PowerGrid,Electricity bill,300000"
"2026-01-18,Repairs,Operations,FixIt Ltd,Machine repair,650000"
"2026-01-21,Marketing,Sales,BrandWorks,Campaign expense,400000"
"2026-01-25,Diesel,Operations,Energy Plus,Generator diesel supply,850000"
"2026-02-04,Logistics,Sales,FastMove Logistics,Product delivery,500000"
"2026-02-08,Utilities,Operations,PowerGrid,Electricity bill,350000"
"2026-02-12,Procurement,Admin,OfficeMart,Office supplies,280000"
"2026-02-16,Repairs,Operations,FixIt Ltd,Equipment maintenance,900000"
"2026-02-20,Marketing,Sales,BrandWorks,Digital advert,450000"
"2026-03-02,Diesel,Operations,Energy Plus,Generator diesel supply,1100000"
"2026-03-06,Logistics,Sales,FastMove Logistics,Product delivery,700000"
"2026-03-11,Utilities,Operations,PowerGrid,Electricity bill,500000"
"2026-03-15,Repairs,Operations,FixIt Ltd,Machine repair,1300000"
"2026-03-19,Marketing,Sales,BrandWorks,Campaign expense,650000"
"2026-03-23,Procurement,Admin,OfficeMart,Office supplies,320000"
